,Alive in collection:,72,,,,,
,,,,,,,
Alliance,Genus,species or hybrid name,Clone name,Date Acquired,Source,Status,Notes
Angraecoid,Aerangis,fastuosa,,ca. 2015,,thriving,
Angraecoid,Aerangis,punctata,,"Jan 7th, 2023",Hausermann's ,"deceased, 8.19.2024",
Angraecoid,Aerangis,punctata,,"May 10th, 2025",Gold Country Orchids,thriving,
Angraecoid,Aerangis ,mystacidii,,"June 8th, 2024",,alive,
Angraecoid,Amesiella ,philippinensis,,"Jan 7th, 2023",Hausermann's ,"deceased, 9.26.2024",
Angraecoid,Angraecum ,dideri,,ca.2015,,"deceased,  4.20.2024",
Angraecoid,Angraecum ,dideri,,"June 8th, 2024",Golden Gate Orchids,"deceased, 9.5.25",
Cattleya,Brassavola,nodosa ('Off the Wall' x 'Spence's Spots'),,"June 20th, 2025",Palmer's Orchids,"alive, thriving",Allegedly blooming size. Seed grown. Potted up into terra cotta
Cattleya,Cattleya ,dowiana f. aurea,,"Sept 13th, 2025",NHOS Auction ,"alive, declining 4.7.2026",
Cattleya,Cattleya ,Faikon Ball,,"March 29th, 2025",Ten Shin Gardens,Thriving,
Cattleya,Encyclia,mariae,alt. Prosthechea mariae,"Dec. 14th, 2024",NHOS Auction,alive,"pretty sad, but, has potential to recover"
Cattleya,Encyclia ,patens,,"Feb 19th, 2024",Ecuagenera,alive,
Cattleya ,Blc,unk,,ca. 2010,UMass Greenhouse,alive,
Cattleya ,Brassavola,nodosa,,ca. 2018,Hausermann's,"alive, thriving",
Cattleya ,Brassavola ,flagellaris ,,ca. 2018,Marlow Orchids,"deceased, 9.27.2024",
Cattleya ,Brassolaeliocattleya,Chief ,Happy Chief',"August 31st, 2022",Hausermann's ,"deceased, 10.5.2024",
Cattleya ,Brassolaeliocattleya,Hilda Takamatsu,,"August 31st, 2024",Hausermann's ,thriving,
Cattleya ,Brassolaeliocattleya,Keowee,Mendenhall',,,"deceased, 9.13.2025",
Cattleya ,Brassolaeliocattleya,Robin Henry 'Sweet Scent' x Pot. Memoria Harriet George 'Glendale Heights',,"August 31st, 2022",Hausermann's ,thriving,
Cattleya ,Cattleya , Floralia's Azul (4N) x warneri v. coerulea 'Gold Country' (4N),,"October 13th, 2025",Good County Orchids,Thriving ,
